,T288242,T480204,T268226,T408232,T287358,T287370,T480257,T480228,T408231,T408260,T480271,T480279,T480270,T287377,T288241,T480248,T287367,T480203
5/43.0541mz/3.94min,0.12347581,1.44347763,-0.17543525,0.96728231,0.17159266,-0.88299422,-0.88299422,-0.88299422,-0.88299422,-0.88299422,-0.88299422,-0.88299422,-0.88299422,0.09541251,0.45477624,0.26811608,2.03943455,1.67582122
6/44.9968mz/4.14min,-0.44520507,1.0723632,0.4362551,0.58807503,1.04994016,-0.52351535,-1.28675745,-0.58896149,-2.00485666,-0.786341,-0.80292562,-0.47712832,-0.27671385,0.05636829,0.05546007,1.1103751,1.4477385,1.37582936
7/57.0691mz/4.19min,-0.07617747,0.16594666,-0.13476428,0.09842346,0.13000263,-0.46972259,-0.26441457,-0.48991986,-0.40608333,-0.13337378,-0.29817886,-0.36707993,0.02157873,0.2625157,0.15084565,0.40783844,1.27341478,0.12914862
8/82.0401mz/4.25min,0.03766787,0.77952604,-0.46290238,0.31678911,0.25408803,-0.69978369,-0.04788046,-0.11025464,-1.39917871,-0.28194662,-0.50195709,-0.8929772,-0.50318522,-0.51038699,0.63913996,0.45767598,1.80979161,1.1157744
9/61.0277mz/4.36min,-0.835901283,-0.835901283,-0.835901283,-0.835901283,-0.835901283,-0.835901283,-0.835901283,-0.835901283,0.425858752,1.002012587,0.144752395,-0.069588197,0.749069754,-0.007931832,2.243018848,0.43997195,0.940240331,0.819805678
10/132.0170mz/4.45min,0.29794924,0.28639898,-0.24593715,-0.19873521,0.17736339,-0.31699145,-0.20695157,-0.43613765,-0.62893867,0.28313839,0.06098446,-0.20611401,0.13619647,0.28916745,0.92071279,-0.13161326,-0.10496838,0.02447617
11/82.9439mz/4.48min,0.51084337,-0.07730111,0.22187535,0.05863849,0.33689112,0.4087973,0.05695094,0.03808892,-0.54397388,0.07521036,-0.62831649,0.34915513,-0.17534068,-0.26498201,0.07441517,-0.3742116,-0.01096391,-0.05577646
12/71.0481mz/4.58min,0.03590337,-0.30810121,-0.29020654,-0.23702298,-0.18388563,-0.41270111,0.36157646,-0.2071758,-0.66247036,-0.51726225,1.94128276,-0.16097356,1.1858576,-0.27025532,-0.28546781,0.27502074,-0.22727857,-0.03683978
15/58.0407mz/4.98min,-0.76878884,1.57289704,-0.76878884,0.96531879,0.44588817,-0.76878884,-0.76878884,-0.76878884,-0.76878884,-0.76878884,-0.76878884,-0.76878884,-0.76878884,0.68538846,0.02975068,-0.0977396,2.2610257,1.82535913
16/214.9827mz/5.22min,0.8220839,-0.4919761,0.4034138,-0.4307691,-0.1298839,0.584068,-0.1452022,-0.1025225,-0.2803785,-0.2127757,0.3996449,0.7248806,-0.1250118,0.662919,0.814836,0.3361596,-1.4644138,-1.365072
17/56.0371mz/5.30min,-0.5809032,1.5799118,-0.5809032,0.4342822,-0.5809032,-0.5809032,-0.5809032,-0.5809032,-0.5809032,-0.5809032,-0.5809032,-0.5809032,-0.5809032,-0.5809032,0.7861685,0.1510767,2.1064041,1.9129946
18/82.9438mz/5.73min,-0.575794822,-0.721048254,0.003126407,0.682945016,0.769346158,0.765647434,0.269313367,0.30218285,-0.359400785,0.105645502,-0.438177718,0.646770141,-0.344689493,-0.486685129,-0.146054388,0.342806562,-0.040012005,-0.775920842
19/81.0604mz/6.21min,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,-0.4434993,0.5086783,0.4377672,0.3516144,2.3411747,2.1262569
20/153.0189mz/6.30min,0.196145055,0.263408102,0.82606699,-0.18427482,0.158653262,-0.647316777,0.005933644,0.548770563,-1.761689647,-0.943265597,-0.273401514,1.072334769,0.715398864,0.067747688,1.215751638,0.678894332,-1.761689647,-0.177466906
21/93.9904mz/6.32min,1.27827815,1.14143029,1.17860477,1.28834214,1.15678339,-1.80326034,-1.72266473,-0.78048441,-0.4473465,-0.31364193,-0.38394513,-0.34038517,-0.61740965,0.16626563,0.17512982,0.3509041,-0.06258044,-0.26401999
24/43.0540mz/6.65min,1.1967717,1.3498437,1.3868072,1.1841443,1.2400453,-0.8835461,-0.8835461,-0.8835461,-0.8835461,-0.8835461,-0.8835461,-0.8835461,-0.8835461,0.2814535,-0.1285131,0.190588,0.2242978,0.1429302
25/91.0530mz/6.77min,0.05986478,0.93338548,0.07961921,0.59841157,0.1389773,-1.43776507,-1.43776507,-1.43776507,-0.56569325,-0.14670003,-0.19557631,0.50180787,-0.08281634,0.45601884,0.26656344,0.14645177,1.4278888,0.69509211
28/55.0537mz/7.18min,-0.2374242,0.12895393,0.09153561,-0.14762542,0.48647537,-0.25472576,-0.82551263,0.05671894,-1.74470926,0.44156579,-0.44952527,-0.80049405,-0.15904422,-0.58112004,0.55455008,1.25372397,1.19855577,0.98810139
29/43.0540mz/7.36min,-0.64057058,0.59754511,0.71375865,0.09342236,0.59963091,-0.57267029,-0.66591484,0.90372455,-1.56703427,-0.69926319,-0.91980581,-0.701196,1.02255789,-0.32849374,0.77981894,0.29433017,0.77443585,0.31572428
30/67.0531mz/7.48min,-0.34934923,0.26425074,-0.44509497,-0.19476749,0.87681075,-1.09199334,-0.73100271,0.06221641,-1.33318151,-0.1980682,-0.48895511,-0.28020677,0.79700387,-0.19283788,0.35275065,0.44603312,1.37018802,1.13620365
40/43.0520mz/7.85min,0.88030818,0.99593978,1.06859157,0.85050948,0.92675591,-1.41705266,-1.41705266,-1.41705266,-0.50519049,0.18813408,-0.42064434,0.11687955,-0.03058999,-0.57060382,0.46343749,0.02295922,0.22762569,0.03704565
41/55.0535mz/8.34min,1.0618259,0.9233373,1.2827138,0.8116516,1.1184752,-1.5810065,-1.5810065,-1.5810065,-0.8468787,-0.354124,-0.3432068,-0.7134262,-0.1503313,0.139197,0.3544464,0.4701507,0.5304398,0.4587489
43/95.0109mz/8.43min,-0.644274778,0.988795703,-0.644274778,0.795398292,0.861631324,-0.644274778,-0.644274778,-0.644274778,-0.644274778,-0.644274778,-0.644274778,-0.644274778,-0.644274778,-0.644274778,-0.005274177,-0.644274778,2.500298829,2.590447364
44/74.0351mz/8.59min,-0.3896729,2.3490613,0.577965,2.10591,0.422484,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729,-0.3896729
45/91.0529mz/9.23min,-0.3470839,1.3298686,-0.5570153,-0.386166,-0.1269344,-0.3750092,-0.4842124,-0.9707941,-0.3691463,-0.5215564,-0.5182375,0.343903,-0.3009644,-0.1348452,0.1628175,0.5736529,1.5710701,1.110653
46/55.0537mz/9.64min,0.20914239,0.74905062,0.38742694,0.30045465,0.33713812,-0.95057913,-0.92296701,-1.73466098,-1.73466098,0.9647427,-0.42956593,-0.51581362,0.06279995,-0.23627143,1.12859086,0.56751376,1.08179674,0.73586236
47/104.0604mz/9.83min,0.4367893,0.8873323,0.5539869,0.7853375,0.6753575,-1.6178563,-1.6178563,-1.6178563,-0.9151678,-0.4015052,-0.3950813,-0.7199844,-0.5928369,0.6992959,0.8381407,0.5844809,1.4598015,0.9576218
48/55.0536mz/10.01min,-0.67861981,0.68978652,0.06631613,0.87409148,1.40731958,-1.39017893,-1.39017893,-1.39017893,-1.39017893,-0.34084916,-0.59027333,-0.49307281,0.11576156,0.76218844,0.80155477,0.747557,0.92094725,1.2780081
49/91.0528mz/10.88min,0.66249279,0.88862011,0.73028377,-0.21352416,0.67925496,-0.43012347,-0.60361489,-0.04722534,-0.93032211,-0.62594098,0.33139819,0.30503122,-0.69531351,0.27967405,0.12544143,1.006688,-0.62555648,-0.8372636
56/125.9612mz/12.00min,-0.2030201,1.3656535,-0.2764646,1.2600215,0.6586239,-1.3587827,-1.3587827,-1.3587827,-1.3587827,-0.7343713,-0.395486,-0.7015862,-0.5005399,0.8869141,-0.2964595,0.6881816,2.2441802,1.4394834
57/94.0400mz/12.18min,-1.08425406,1.35373765,-0.33812875,0.11442701,0.12052826,-1.08425406,-1.08425406,-1.08425406,-1.08425406,0.08767447,0.1317215,-0.29150158,0.58943861,0.27786068,0.09664307,-0.25404798,2.0959815,1.43693588
58/69.0687mz/12.31min,-0.02699827,0.8319644,0.61396288,0.09534229,0.3046527,-1.13555296,-1.13555296,-1.13555296,-1.13555296,-0.20263353,-0.26913271,-1.13555296,-0.37029211,0.06814041,1.40422407,0.69413852,1.81517215,0.71922402
59/129.0356mz/12.35min,-0.3760534,-0.3760534,-0.3760534,-0.3760534,-0.3760534,-0.3760534,-0.3760534,-0.3760534,-0.3760534,-0.3760534,-0.3760534,-0.3760534,2.8865667,-0.3760534,-0.3760534,0.3344727,-0.3760534,2.4197612
61/73.0464mz/12.68min,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,-0.3659871,0.3686749,2.8130542,2.3080774
62/118.0404mz/12.70min,0.12304796,-0.08644179,-0.61608412,0.88336715,0.59280668,-0.14757656,-1.04696584,-0.40009369,0.05534329,1.30085499,-0.27233941,-0.83534489,-0.71170621,0.2379998,0.77150573,-0.62397233,0.83950502,-0.06390579
63/67.0532mz/12.73min,0.07941439,0.89347215,0.33929936,0.02687606,0.84979189,-1.78456509,-1.78456509,-1.78456509,-1.08829359,0.10297613,-0.18709766,-0.20694546,0.99918125,-0.02614289,1.15818999,1.14113055,0.34789634,0.92394673
66/55.0537mz/13.37min,0.17958204,-0.21420127,0.48457465,0.24899258,0.29652534,-1.70483875,-1.70483875,-1.70483875,-0.94819456,0.37733894,0.50840867,1.18511662,0.52391523,0.38208326,1.40137044,0.45019779,0.1632171,0.07558945
67/67.0533mz/13.46min,-0.25275172,1.36189197,-0.54142992,-0.06331757,-0.43086208,-0.50107272,-0.54079335,-0.37669787,-0.52810775,-0.54131083,-0.35240797,-0.62687174,-0.12621056,0.10542707,-0.42129402,0.76622545,1.93959194,1.12999165
70/91.0528mz/13.99min,-0.06989123,1.52565822,0.29628629,1.18137623,0.0212506,-1.75510552,-1.75510552,-1.75510552,-1.08033757,-0.38811534,0.11837687,0.0210232,-0.10797059,0.33186573,0.1818959,0.7822822,1.37130473,1.08031132
71/80.9990mz/14.45min,-0.70442081,0.9621185,-0.01825119,0.83757367,1.49304688,-0.70442081,-0.70442081,-0.70442081,-0.70442081,-0.70442081,-0.70442081,-0.70442081,-0.70442081,0.46868144,-0.70442081,-0.70442081,2.19384291,1.81161668
72/105.0327mz/14.60min,-0.50480384,-0.05251177,0.44675497,0.48667233,0.31033515,-1.30239513,-1.30239513,-1.30239513,-1.30239513,-0.05827516,0.12184263,-0.2286049,0.2266407,-0.10574999,1.20687168,0.93861724,1.40764735,1.01414412
73/55.0537mz/14.95min,0.789304117,0.85097344,0.858622467,0.793900479,0.903274224,-1.965737234,-1.965737234,-1.965737234,-1.322012029,0.15362451,-0.016246877,-0.715413712,0.008717789,0.663032111,0.617472751,0.644853113,0.875028843,0.792080476
74/71.0845mz/15.14min,0.72916574,-0.04466279,-0.12702624,-0.09369837,0.29147823,-0.88976372,-0.53431598,0.02524961,-1.06687466,-0.43254888,0.73196844,-0.28328123,0.45149603,-0.35338217,-0.19276271,-0.26152318,1.80784709,0.24263478
75/79.0528mz/15.21min,-0.8808769,0.9395885,0.4853426,0.4397308,1.6643551,-0.8808769,-0.8808769,-0.8808769,-0.8808769,-0.8808769,-0.8808769,-0.8808769,-0.8808769,-0.1762432,0.8228706,0.8875013,1.294416,1.5703305
77/67.0534mz/15.38min,-0.38143059,0.75397697,0.72704636,0.59914733,0.5010064,-1.46097839,-1.46097839,-1.46097839,-1.46097839,-0.73783376,0.45348353,-0.08172585,1.12824071,-0.58564117,0.71731485,1.13960287,0.74118444,0.86954148
83/43.0540mz/17.67min,-0.17073927,0.57147274,0.74496295,-0.01790669,0.45034162,-0.83102518,-0.45848484,-0.65671735,-0.68389951,-1.12769661,0.85496791,-0.19715953,0.02842794,-0.89600945,0.55555451,0.3884471,0.87515569,0.57030797
84/67.0533mz/17.93min,-0.59252257,0.82958051,0.01524764,0.62557286,-0.08064793,-1.36916553,-1.36916553,-1.36916553,-1.36916553,-0.39519437,0.21712051,-0.26853492,0.86651696,0.63828834,1.02942188,0.88027062,1.07978411,0.63175847
90/58.0406mz/19.96min,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,-0.5460087,2.0047894,0.836553,0.1503037,2.2017153,1.9047512
91/57.0692mz/20.04min,-0.40226258,0.64109736,1.03973606,-0.61595707,0.15448137,-1.48781132,-0.67640367,-0.39353201,-0.19202853,-1.48781132,1.30406037,-0.04983428,-0.18566597,-0.38201678,-0.06137076,0.22951742,1.61653681,0.94926488
92/117.0558mz/20.35min,-0.65694072,1.3291985,-0.65694072,0.81505919,0.46852105,-0.65694072,-0.65694072,-0.65694072,-0.65694072,-0.65694072,-0.65694072,-0.65694072,-0.65694072,-0.04959918,-0.65694072,-0.65694072,3.15240197,2.16770709
93/55.0535mz/22.11min,-0.39561714,0.41493816,0.27170925,0.05488325,0.30688361,-1.18370211,-1.18370211,-1.18370211,-1.18370211,-0.28770991,-0.29727194,-0.348896,0.02053218,0.13724088,1.65163475,0.75784704,1.78167051,0.66696381
94/57.0691mz/22.27min,0.003150035,0.456087514,0.178053615,-0.084014868,-0.049848257,-1.378705416,-0.464506606,-0.219781507,-1.378705416,-0.54930316,-0.008644743,-0.54857007,0.069278283,-0.438055718,0.870402607,0.170409026,2.164482604,1.208272077
96/100.0254mz/23.89min,-0.98251551,0.52381153,0.03934553,0.51973086,2.36089358,-0.98251551,-0.98251551,-0.42907771,-0.98251551,-0.98251551,-0.98251551,-0.98251551,0.67231199,-0.98251551,-0.98251551,0.36905791,2.40865328,2.37791264
97/82.0642mz/24.29min,-0.887928,0.4197668,-0.2142121,0.1579873,1.5083193,0.215423,-0.887928,-0.887928,-0.887928,-0.887928,-0.887928,-0.887928,0.2795261,-0.887928,0.3389957,0.1107596,2.0539696,2.2328884
99/43.0176mz/24.91min,-0.245834,-0.245834,-0.245834,-0.245834,1.4220142,-0.245834,-0.245834,-0.245834,-0.245834,-0.245834,-0.245834,-0.245834,-0.245834,-0.245834,-0.245834,-0.245834,0.9782906,1.2872052
100/43.0539mz/26.24min,-0.54770018,-0.03967747,-0.06319522,0.19435698,0.40147895,-1.03291089,-1.75800985,1.30389365,-1.75800985,-0.32649896,-0.51125401,-0.4208668,1.16130404,1.66082441,0.03848278,-0.04722347,1.1459272,0.59907869
101/149.0226mz/26.39min,0.97036329,1.18044881,-0.20401421,0.08631414,0.86023018,-1.233402,-1.15283007,-0.45661542,-1.98311927,0.11237264,-0.42217108,-0.82504105,1.23220724,0.08796425,1.4894748,-0.02474375,0.10591347,0.17664802
102/186.0491mz/26.64min,0.04105189,0.06304383,0.25315065,-0.20249639,0.90018615,-1.41829731,-1.41829731,-0.07579604,-1.41829731,1.20902737,0.25669916,-0.61736223,1.50945231,-0.38635672,-0.19660691,0.18388581,0.06655959,1.25045348
103/355.0711mz/26.67min,-0.76634283,-0.44982366,0.57358693,-0.43936715,0.75242954,-0.52950181,-0.447443,-0.02631483,-2.00337618,-1.16677284,0.47261811,-0.16870687,1.06071934,-0.14289907,0.66541493,0.81962868,0.85727695,0.93887378
104/69.0641mz/27.55min,-0.719992519,-0.719992519,0.814388814,0.419346414,2.020148193,-0.719992519,-0.719992519,-0.719992519,-0.719992519,-0.719992519,-0.719992519,-0.719992519,0.565498295,-0.719992519,0.009521817,-0.013038005,1.226039558,2.158020106
105/85.0274mz/28.10min,-0.96417115,0.07771083,0.48558181,0.56026734,1.45602856,-0.96417115,-0.96417115,-0.96417115,-0.96417115,-0.96417115,-0.96417115,-0.96417115,1.4062585,-0.31324978,-0.04100479,0.32707195,2.23163923,1.52306553
106/57.0692mz/28.23min,-0.26446192,0.67486413,0.18105007,0.52273463,0.49581204,-0.89980488,-0.21322966,-0.3862664,-1.53778498,-0.83394966,-0.44717943,-0.58749377,0.05387544,-0.35362412,0.74227538,-0.26019045,1.91571838,1.1976552
107/207.1168mz/28.46min,0.4262329,0.05014145,0.81686072,0.71831289,0.67716894,0.40866545,-0.4342487,-0.67424009,-0.92840989,-0.53556176,-0.73610982,0.40738709,-0.8350355,-0.2927268,-1.79185137,0.5620361,1.10121922,1.06015917
108/71.0480mz/28.64min,-0.7678572,-0.0872375,0.5993433,0.4032375,1.3672431,-0.7678572,-0.7678572,-0.7678572,-0.7678572,-0.7678572,-0.7678572,-0.7678572,0.8556847,-0.7678572,-0.7678572,0.4128335,2.383243,1.7442244
109/221.1333mz/28.80min,0.08138385,0.03961613,0.53647258,0.35541933,0.40720036,0.20754072,-0.25515065,-0.50866308,-0.30492723,0.07076533,-0.06237014,0.13582889,-1.37817484,-0.68055269,-0.59766478,0.22513989,0.90977636,0.81835997
110/85.0506mz/28.91min,-0.5839412,-0.5839412,0.1301583,-0.5839412,0.8355836,-0.5839412,-0.5839412,-0.5839412,-0.5839412,-0.5839412,-0.5839412,-0.5839412,0.7836171,-0.5839412,-0.5839412,0.7096079,2.2507866,2.2975413
111/135.0794mz/29.38min,-0.09166991,-0.03798962,0.24292326,0.67291245,0.02281795,-0.75385261,-0.73538512,-0.73690748,-1.07331426,-0.45271062,-0.33513801,-0.91343687,0.69328249,-0.50476993,0.64378337,0.99196347,1.02014451,1.34734693
112/219.1387mz/29.56min,0.850965599,-0.919367666,-0.058071836,-0.121037116,1.120346924,0.511275506,-0.504954726,0.005390404,0.747966999,0.690945126,-0.223492655,-1.302455979,1.251941436,-0.61106634,0.103726727,-0.089236052,-0.990594362,-0.462281991
115/59.0362mz/29.61min,-0.8236241,-0.8236241,-0.2599048,0.4855212,2.3436353,-0.8236241,-0.8236241,-0.8236241,-0.8236241,-0.8236241,-0.8236241,-0.8236241,2.0082932,-0.8236241,-0.8236241,0.3662936,1.7132841,2.4027422
116/43.0539mz/30.01min,-0.5083924,0.5768605,0.2719761,0.472373,0.5793943,-1.0828145,-0.4258576,-0.632907,-1.9078153,-0.6538992,-0.7722287,-0.4101481,0.5440353,0.5093487,0.4197509,0.3746899,1.3524735,1.2931605
117/124.9986mz/30.08min,-0.21228019,0.30141482,-0.24662899,0.44303462,1.33248759,-0.56748428,-1.31992647,-0.50898154,-1.31992647,-1.31992647,-0.12793773,-0.5547617,0.10060096,0.08882011,-0.37809107,1.40030979,1.62631136,1.26296564
118/119.0840mz/30.17min,-0.07997388,0.37265353,0.84969819,0.59146846,0.97951029,0.10212854,-0.78377306,-0.59621565,-1.01711472,-0.12096484,-0.33616146,-0.06908671,-0.41159516,-0.7405244,-1.22572903,0.19638663,1.04681309,1.2424802
119/73.0340mz/30.22min,-0.72153337,-0.72153337,-0.09339697,0.47351917,2.53936279,-0.72153337,-0.72153337,-0.72153337,-0.72153337,-0.72153337,-0.72153337,-0.72153337,1.25810457,-0.72153337,-0.72153337,0.22230521,1.16473629,2.37223604
120/120.0194mz/30.32min,0.67303384,-0.18338445,1.24816663,0.30122261,0.92996465,-0.55169672,-1.64019678,-0.06617372,-1.64019678,-0.88072737,-0.39043696,-0.85585737,1.26931223,0.01289406,-0.06285886,-0.2842813,1.27511175,0.84610453
122/149.0226mz/31.24min,-0.0822349,-0.3403314,-0.2678952,0.1381789,0.7851338,-0.8226638,-1.1892842,0.2334369,-2.0036689,-0.1514034,-0.5733371,-0.5562696,0.6164695,0.4374774,1.6352636,0.4977203,0.7137602,0.9296477
123/71.0843mz/31.70min,-0.65252065,0.74216102,0.44732296,-0.08531084,0.96623026,-1.31951476,-0.58868537,-0.25342738,-1.31951476,-1.31951476,-1.31951476,-1.31951476,1.02181404,0.62714319,0.89249738,0.30833067,1.69274456,1.47927398
124/85.0331mz/31.80min,-0.7746591,-0.7746591,0.2475296,-0.1013039,1.4967079,-0.7746591,-0.7746591,-0.7746591,-0.7746591,-0.7746591,-0.7746591,-0.7746591,1.5627111,-0.7746591,0.0971002,0.6817792,1.9298462,1.832221
125/281.0515mz/31.87min,-0.274164369,-0.113020613,0.372016039,-0.13806295,0.267989445,-1.474250914,-0.66772218,-0.647836753,-1.474250914,-0.539352076,-0.109963523,-0.388692858,0.966137752,-0.009983105,0.375713214,0.595284838,1.69931186,1.560847109
126/149.0227mz/32.83min,0.008168059,0.122575398,0.07208423,-0.089625243,-0.176389847,-0.702859271,-1.007225873,-0.157771744,-1.790222504,0.179802343,-0.358652191,-0.825343826,-0.211633781,-0.314879243,1.961702102,0.662440241,1.405213466,1.222617683
127/57.0693mz/33.31min,0.23812791,0.40358265,0.5715335,0.08661762,1.13405849,-1.08044167,-1.02722686,-0.14318445,-1.80826933,-0.8952815,-0.60161787,-0.99364825,0.59296992,0.22734428,0.63716002,-0.52021413,1.45699373,1.72149594
129/87.0560mz/34.35min,-0.6172291,-0.6172291,-0.6172291,0.5692502,2.574338,-0.6172291,-0.6172291,-0.6172291,-0.6172291,-0.6172291,-0.6172291,-0.6172291,0.9037481,-0.6172291,-0.6172291,0.0334787,0.7306497,2.5952843
130/122.0940mz/34.71min,-0.5751221,0.1213363,-0.5751221,0.6578977,0.9119006,-0.5751221,-0.5751221,-0.5751221,-0.5751221,-0.5751221,-0.5751221,-0.5751221,-0.5751221,-0.5751221,-0.5751221,0.3819293,2.2734404,2.5549604
131/57.0691mz/34.85min,0.92531658,0.31006795,0.44726057,0.26041584,0.54065014,-1.81315097,-1.07797972,0.78307511,-1.81315097,-0.51903128,-0.57490092,-0.67245624,0.13305505,-0.40621583,1.02113747,-0.06861834,1.31380058,1.21072499
132/96.0802mz/35.06min,-0.3412658,0.4072241,-0.008299,1.1340209,1.4052556,-1.0002391,-1.0002391,-1.0002391,-1.0002391,-1.0002391,-1.0002391,-1.0002391,0.7577548,-0.3823172,-1.0002391,0.8768936,1.9269814,2.2256644
133/74.0354mz/35.29min,-0.4770619,-0.4770619,-0.4770619,0.423626,1.7882368,-0.4770619,-0.4770619,-0.4770619,-0.4770619,-0.4770619,-0.4770619,-0.4770619,0.4165903,-0.4770619,-0.4770619,0.6238424,0.3849712,2.0874763
